id,Calculated Rating,Actual Rating,C1 Score,C2 Score,C3 Score,C4 Score,C5 Score
28.0,0.7,0.6,0.9,0.7,0.7,0.6,0.6
17.0,0.5800000000000001,0.5,0.3,0.8,0.8,0.3,0.7
12.0,0.6599999999999999,0.9,0.3,0.8,0.8,0.7,0.7
29.0,0.8400000000000001,0.9,1.0,0.9,0.8,0.8,0.7
8.0,0.56,0.3,0.4,0.7,0.6,0.5,0.6
44.0,0.66,0.7,0.7,0.7,0.6,0.7,0.6
23.0,0.68,0.7,0.3,0.9,0.8,0.7,0.7
43.0,0.74,0.3,1.0,0.8,0.8,0.3,0.8
33.0,0.26,0.4,0.2,0.2,0.2,0.2,0.5
10.0,0.6599999999999999,0.5,0.2,0.9,0.8,0.7,0.7
30.0,0.44000000000000006,0.6,0.2,0.4,0.7,0.2,0.7
16.0,0.7,0.6,0.5,0.7,0.8,0.7,0.8
21.0,0.58,0.6,0.2,0.8,0.6,0.7,0.6
13.0,0.78,0.8,0.9,0.9,0.8,0.7,0.6
19.0,0.5399999999999999,0.9,0.2,0.7,0.7,0.6,0.5
36.0,0.3,0.9,0.1,0.6,0.4,0.2,0.2
20.0,0.6,0.8,0.3,0.7,0.6,0.7,0.7
39.0,0.8400000000000001,0.7,0.9,0.9,0.8,0.9,0.7
38.0,0.74,0.6,0.8,0.8,0.6,0.7,0.8
1.0,0.6,0.4,0.2,0.8,0.8,0.6,0.6
31.0,0.78,0.6,1.0,0.8,0.6,0.8,0.7
9.0,0.74,0.7,0.9,0.8,0.6,0.7,0.7
15.0,0.5599999999999999,0.4,0.3,0.7,0.8,0.5,0.5
4.0,0.56,0.8,0.2,0.7,0.6,0.7,0.6
34.0,0.76,0.9,0.8,0.8,0.7,0.8,0.7
25.0,0.74,0.6,0.5,0.9,0.8,0.8,0.7
6.0,0.86,0.8,1.0,0.9,0.8,0.8,0.8
35.0,0.68,0.9,0.6,0.8,0.8,0.6,0.6
41.0,0.56,0.8,0.5,0.8,0.4,0.6,0.5
7.0,0.66,0.4,0.8,0.7,0.6,0.6,0.6
40.0,0.86,0.9,1.0,0.8,0.9,0.8,0.8
27.0,0.58,0.7,0.6,0.7,0.5,0.6,0.5
37.0,0.36,0.7,0.0,0.7,0.6,0.2,0.3
