id,Calculated Rating,Actual Rating,C1 Score,C2 Score,C3 Score,C4 Score,C5 Score
28,0.5799999999999995,0.6,0.6,0.5,0.5,0.6,0.7
17,0.6,0.5,0.8,0.6,0.7,0.7,0.4
12,0.66,0.9,0.8,0.6,0.7,0.7,0.5
29,0.78,0.9,0.8,0.7,0.9,0.8,0.7
8,0.5749999999999995,0.3,0.5,0.5,0.6,0.7,
44,0.6999999999999995,0.7,0.6,0.7,0.7,0.8,
23,0.6,0.7,0.8,0.6,0.7,0.7,0.4
43,0.3,0.3,0.3,0.2,0.3,0.4,0.2
33,0.36,0.4,0.4,0.3,0.4,0.4,0.3
10,0.74,0.5,0.8,0.7,0.8,0.8,0.6
30,0.5,0.6,0.4,0.5,0.4,0.6,
16,0.68,0.6,0.7,0.6,0.8,0.8,0.5
21,0.66,0.6,0.7,0.6,0.8,0.7,0.5
13,0.6,0.8,0.6,0.5,0.7,0.7,
19,0.675,0.9,0.7,0.6,0.7,0.7,
36,0.4,0.9,0.3,0.4,0.3,0.5,
20,0.6999999999999995,0.8,0.8,0.7,0.7,0.7,0.6
39,0.68,0.7,0.7,0.7,0.7,0.8,0.5
38,0.6999999999999995,0.6,0.7,0.6,0.7,0.8,
1,0.76,0.4,0.8,0.7,0.9,0.8,0.6
31,0.6,0.6,0.6,0.6,0.6,0.7,
9,0.725,0.7,0.7,0.7,0.8,0.7,
15,0.48,0.4,0.6,0.4,0.5,0.6,0.3
4,0.56,0.8,0.6,0.5,0.7,0.6,0.4
34,0.75,0.9,0.8,0.7,0.7,0.8,
25,0.76,0.6,0.8,0.7,0.8,0.9,0.6
6,0.6999999999999995,0.8,0.7,0.6,0.7,0.8,0.7
35,0.6999999999999995,0.9,0.7,0.7,0.7,0.8,
41,0.55,0.8,0.6,0.4,0.5,0.7,
7,0.6,0.4,0.7,0.5,0.6,0.7,
40,0.6999999999999995,0.9,0.7,0.6,0.7,0.8,
27,0.6,0.7,0.6,0.6,0.6,0.7,
37,0.5,0.7,0.4,0.5,0.5,0.7,
